mass,r_br_yy_bb,exp_limit,obs_limit
500,0.0013,0.037950,0.040952
500,0.0014,0.037888,0.041001
500,0.0015,0.037824,0.041117
500,0.0016,0.037753,0.041161
500,0.0017,0.037681,0.041190
500,0.0018,0.037607,0.041134
500,0.0019,0.037530,0.041150
500,0.0020,0.037450,0.041161
500,0.0021,0.037368,0.041168
500,0.0022,0.037283,0.041171
500,0.0023,0.037196,0.041169
500,0.0024,0.037107,0.041163
500,0.0025,0.037016,0.041254
500,0.0026,0.036922,0.041240
500,0.0027,0.036827,0.041222
500,0.0028,0.036730,0.041200
500,0.0029,0.036631,0.041174
500,0.0030,0.036530,0.041145
500,0.0031,0.036429,0.041112
500,0.0032,0.036325,0.041076
500,0.0033,0.036220,0.041032
500,0.0034,0.036114,0.040992
500,0.0035,0.036007,0.040948
500,0.0036,0.035899,0.040911
500,0.0037,0.035790,0.040860
500,0.0038,0.035679,0.040806
500,0.0039,0.035568,0.040741
500,0.0040,0.035456,0.040682
500,0.0041,0.035343,0.040528
500,0.0042,0.035229,0.040563
500,0.0043,0.035115,0.040494
500,0.0044,0.035000,0.040425
500,0.0045,0.034884,0.040376
500,0.0046,0.034768,0.040303
500,0.0047,0.034652,0.040229
500,0.0048,0.034535,0.040089
500,0.0049,0.034417,0.040010
500,0.0050,0.034299,0.039930
500,0.0051,0.034181,0.039849
500,0.0052,0.034063,0.039703
500,0.0053,0.033944,0.039619
500,0.0054,0.033826,0.039577
500,0.0055,0.033707,0.039492
500,0.0056,0.033588,0.039405
500,0.0057,0.033468,0.039316
500,0.0058,0.033349,0.039226
500,0.0059,0.033230,0.039135
500,0.0060,0.033110,0.039065
500,0.0070,0.031923,0.038106
500,0.0080,0.030753,0.037085
500,0.0090,0.029617,0.036037
500,0.0100,0.028523,0.034984
500,0.0200,0.020040,0.025887
500,0.0300,0.014995,0.019867
500,0.0400,0.011850,0.015895
500,0.0500,0.009746,0.013146
600,0.0000,0.022181,0.014019
600,0.0001,0.022181,0.013997
600,0.0002,0.022177,0.013974
600,0.0003,0.022170,0.013951
600,0.0004,0.022159,0.013927
600,0.0005,0.022145,0.013903
600,0.0006,0.022128,0.013878
600,0.0007,0.022109,0.013851
600,0.0008,0.022086,0.013826
600,0.0009,0.022061,0.013800
600,0.0010,0.022034,0.013773
600,0.0011,0.022004,0.013747
600,0.0012,0.021972,0.013719
600,0.0013,0.021937,0.013692
600,0.0014,0.021902,0.013664
600,0.0015,0.021865,0.013636
600,0.0016,0.021824,0.013607
600,0.0017,0.021784,0.013579
600,0.0018,0.021740,0.013550
600,0.0019,0.021696,0.013521
600,0.0020,0.021650,0.013491
600,0.0021,0.021603,0.013461
600,0.0022,0.021554,0.013431
600,0.0023,0.021505,0.013401
600,0.0024,0.021455,0.013372
600,0.0025,0.021403,0.013340
600,0.0026,0.021351,0.013309
600,0.0027,0.021297,0.013280
600,0.0028,0.021241,0.013248
600,0.0029,0.021186,0.013210
600,0.0030,0.021130,0.013178
600,0.0031,0.021073,0.013147
600,0.0032,0.021015,0.013115
600,0.0033,0.020957,0.013082
600,0.0034,0.020898,0.013050
600,0.0035,0.020838,0.013018
600,0.0036,0.020778,0.012985
600,0.0037,0.020718,0.012953
600,0.0038,0.020657,0.012921
600,0.0039,0.020596,0.012890
600,0.0040,0.020534,0.012857
600,0.0041,0.020472,0.012823
600,0.0042,0.020409,0.012790
600,0.0043,0.020346,0.012757
600,0.0044,0.020283,0.012725
600,0.0045,0.020220,0.012692
600,0.0046,0.020156,0.012659
600,0.0047,0.020092,0.012626
600,0.0048,0.020028,0.012598
600,0.0049,0.019964,0.012565
600,0.0050,0.019900,0.012532
600,0.0051,0.019835,0.012498
600,0.0052,0.019771,0.012464
600,0.0053,0.019706,0.012431
600,0.0054,0.019641,0.012397
600,0.0055,0.019577,0.012365
600,0.0056,0.019512,0.012332
600,0.0057,0.019447,0.012298
600,0.0058,0.019382,0.012266
600,0.0059,0.019317,0.012241
600,0.0060,0.019252,0.012201
600,0.0070,0.018607,0.011872
600,0.0080,0.017972,0.011552
